materia_id,materia_nombre,inscriptos,duracion_horas,dia,salones,capacidad_total,estado
22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",527,3.0,1,"B01;309;B11;115",329,INSUFICIENTE
95,"GEOMETRIA Y ALGEBRA LINEAL 1",385,3.0,1,"B01;C01;310;102",458,OK
172,"MATEMATICA DISCRETA 1",375,3.0,21,"B01;310",239,INSUFICIENTE
78,"FISICA 1",354,3.0,21,"B01;725",243,INSUFICIENTE
23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",304,4.0,3,"B01;705;C01",437,OK
97,"GEOMETRIA Y ALGEBRA LINEAL 2",298,3.5,22,"B01;C12",354,OK
52,"ECONOMIA",269,4.0,1,"B01;A01;722;303",454,OK
206,"PROGRAMACION 1",182,3.0,1,"Piso;C01",264,OK
188,"METODOS NUMERICOS",165,3.0,3,"B01;310;B21",278,OK
176,"MATEMATICA INICIAL",116,4.0,22,"B01;A11",248,OK
80,"FISICA 3",102,3.0,21,"B01;C22",325,OK
202,"PROBABILIDAD Y ESTADISTICA",94,3.0,22,"B01;C01",417,OK
173,"MATEMATICA DISCRETA 2",89,3.0,1,"C12",131,OK
24,"CALCULO VECTORIAL",83,3.0,3,"B01;C11;301",324,OK
181,"MECANICA NEWTONIANA",82,4.0,23,"B01;703",243,OK
159,"LOGICA",81,4.0,23,"B01;B11",273,OK
207,"PROGRAMACION 3",78,3.0,23,"B01;B21",262,OK
1,"PROGRAMACION 2",77,3.0,0,"B01",223,OK
215,"REDES DE COMPUTADORAS",74,3.0,24,"B01;310",239,OK
79,"FISICA 2",65,3.0,3,"B01;C01;B23",518,OK
201,"PRINCIPIOS DE QUIMICA GENERAL",60,4.0,24,"B01;501",285,OK
208,"PROGRAMACION 4",55,3.0,1,"Hall;502",120,OK
12,"ARQUITECTURA DE COMPUTADORAS",54,3.0,24,"B01;B23",324,OK
142,"INT. A LA INVESTIGACION DE OPERACIONES",45,4.0,25,"B01;B23",324,OK
66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",44,3.0,0,"B01",223,OK
82,"FLUIDODINAMICA",39,4.0,1,"A11;303",101,OK
158,"LEGISLACION Y RELACIONES INDUSTRIALES",36,2.0,22,"B01;B23",324,OK
61,"ELECTROTECNICA I",34,2.5,0,"B01",223,OK
69,"ENERGIA 1- COMBUSTION",33,3.0,24,"B01;301",299,OK
262,"TRANSFERENCIA DE CALOR Y MASA 1",32,4.0,1,"305",35,OK
245,"TEORIA DE CIRCUITOS",30,3.0,25,"B01;A21",295,OK
261,"TRANSFERENCIA DE CALOR 2",30,4.0,1,"501;703",82,OK
77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",27,4.0,25,"B01;B12",364,OK
81,"FISICA TERMICA",27,3.5,0,"B01;C21",248,OK
250,"TEORIA DE LENGUAJES",27,4.0,4,"B01;A22;Hall",447,OK
118,"INGENIERIA LEGAL",26,4.0,4,"B01;312;703",337,OK
127,"INT. A LA CIENCIA DE MATERIALES",25,1.5,4,"Piso;B01;C21",318,OK
228,"SEÑALES Y SISTEMAS",25,3.5,0,"B01;312",317,OK
285,"TOPOGRAFIA ALTIMETRICA",25,3.0,0,"B01;B22",255,OK
263,"TRANSFERENCIA DE CALOR Y MASA 2",24,4.0,0,"B01;B23",324,OK
165,"MAQUINAS PARA FLUIDOS I",21,3.0,1,"115;A22",164,OK
37,"COMPUTACION 1",20,3.0,0,"B01;115",263,OK
278,"TOPOGRAFIA PLANIMETRICA",20,3.0,1,"601",60,OK
107,"HIDROLOGIA E HIDRAULICA APLICADAS",19,4.0,1,"B21;502",59,OK
41,"CONTROL DE CALIDAD",18,4.0,0,"B01;502",243,OK
115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",18,2.0,23,"B01;31",258,OK
223,"RESISTENCIA DE MATERIALES 1",18,4.0,5,"B01;310;305",274,OK
0,"ELECTRONICA FUNDAMENTAL",17,3.5,4,"B01;Hall;C21",348,OK
50,"DISEÑO LOGICO",17,4.0,0,"B01;Actos",351,OK
102,"GESTION DE MANTENIMIENTO",17,4.0,0,"B01",223,OK
114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",17,4.0,5,"B01;311;Hall",352,OK
260,"TRANSFERENCIA DE CALOR 1",17,4.0,0,"B01;311",252,OK
42,"COSTOS",16,4.0,0,"B01",223,OK
56,"ELECTROMAGNETISMO",16,4.0,1,"A22;B22",156,OK
144,"INT. A LA MECANICA DE SUELOS",16,3.5,0,"B01;102",248,OK
182,"MEDIDAS ELECTRICAS",16,4.0,0,"B01;705",243,OK
234,"SISTEMAS Y CONTROL",16,4.0,2,"310;B21",55,OK
60,"ELECTROTECNICA",15,3.0,5,"B01;722;A21",305,OK
94,"GEOLOGIA DE INGENIERIA",15,4.0,0,"B01;601",283,OK
137,"INT. A LA INGENIERIA BIOQUIMICA",15,4.0,2,"703",20,OK
138,"INT. A LA INGENIERIA DE PROCESOS",15,4.0,0,"B01;703",243,OK
178,"MECANICA APLICADA (ING.QUÍM)",15,3.0,0,"B01;303",299,OK
233,"SISTEMAS OPERATIVOS",15,4.0,0,"B01;A12",342,OK
253,"TERMODINAMICA APL. A LA ING.DE PROCESOS",15,4.0,0,"B01",223,OK
62,"ELECTROTECNICA II",14,3.0,1,"B01;310;C12;31",405,OK
139,"INT. A LA INGENIERIA DE SOFTWARE",14,3.0,1,"C01",194,OK
279,"ESTRUCTURAS DE MADERA 1",14,3.5,0,"B01",223,OK
39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",13,3.0,2,"B22",32,OK
84,"FUNCIONES DE VARIABLE COMPLEJA",13,3.0,0,"B01;Hall",323,OK
109,"HORMIGON ESTRUCTURAL 1",13,3.5,6,"B01;B22;303",331,OK
57,"ELECTRONICA AVANZADA 1",12,3.0,1,"Piso;B12",211,OK
129,"INT. A LA CONSTRUCCION",12,4.0,6,"B01;310;B22",271,OK
152,"INT. A LOS MICROPROCESADORES",12,4.0,6,"B01;A22;B22",379,OK
177,"MATERIALES Y ENSAYOS",12,4.0,1,"B22;703",52,OK
210,"PROYECTO",12,3.0,0,"705;B01",243,OK
284,"TEORÍA Y ANÁLISIS DE ERRORES",12,4.0,0,"B01;B22",255,OK
21,"BASES DE DATOS PARA INGENIERIA",11,3.0,0,"B01;A21",295,OK
26,"CAMINOS Y CALLES 1",11,4.0,0,"B01;722",233,OK
34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",11,3.0,1,"725;B23",121,OK
85,"FUNDAMENTOS DE BASES DE DATOS",11,3.0,1,"727",20,OK
124,"INSTRUMENTACION INDUSTRIAL",11,4.0,0,"B01",223,OK
148,"INT. A LAS ECUACIONES DIFERENCIALES",11,3.0,0,"B01",223,OK
143,"INT. A LA MECANICA DE LOS FLUIDOS",10,4.0,0,"B01",223,OK
146,"INT. A LA OPTICA",10,3.5,7,"B01;C11;303",324,OK
203,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",10,1.5,6,"B01;305",258,OK
219,"REFRIGERACION",10,4.0,1,"B23;102",126,OK
43,"COSTOS PARA INGENIERIA",9,4.0,0,"B01;305",258,OK
98,"GESTION DE CALIDAD",9,4.0,0,"B01",223,OK
110,"HORMIGON ESTRUCTURAL 2",9,2.0,25,"B01;Actos",351,OK
122,"INSTALACIONES ELECTRICAS",9,4.0,2,"722;502",30,OK
216,"REDES DE DATOS 1",9,2.0,0,"B01;102",248,OK
59,"ELECTRONICA DE POTENCIA",8,4.0,0,"B01;312",317,OK
96,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",8,3.0,1,"B11;C12",181,OK
131,"INT. A LA ELECTROTECNIA",8,3.0,1,"115",40,OK
169,"MATEMATICA 1",8,3.0,0,"B01",223,OK
204,"PROCEDIMIENTOS CONST.PARA ESTRUCTURAS",8,2.0,0,"B01;B11",273,OK
225,"SEGURIDAD EN LA CONSTRUCCION",8,4.0,0,"B01;A12",342,OK
227,"SEÑALES ALEATORIAS Y MODULACION",8,4.0,0,"B01;301",299,OK
126,"INT. A LA CIENCIA DE LOS MATERIALES",7,1.5,1,"727;303",96,OK
170,"MATEMATICA 2",7,3.0,0,"B01;303",299,OK
213,"PUENTES",7,4.0,7,"B01;310;A12",358,OK
68,"ELEMENTOS DE TOPOGRAFIA",6,4.0,0,"B01",223,OK
