dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
13,0,"ELECTRONICA FUNDAMENTAL",8.0,10.0,312,94
18,1,"PROGRAMACION 2",8.0,9.5,C22,102
23,2,"ADMINISTRACION DE INFRAESTRUCTURAS",16.0,18.0,116,6
12,3,"ADMINISTRACION DE OPERACIONES",8.0,9.5,307,180
18,4,"AGRIMENSURA LEGAL 1",8.0,10.0,116,6
2,5,"AGRIMENSURA LEGAL 2",14.0,16.0,116,6
14,6,"AGRIMENSURA LEGAL 3",8.0,10.0,116,6
15,7,"AGRIMENSURA LEGAL 4",12.0,14.0,116,6
25,8,"ALISTAMIENTO NAVAL",8.0,10.0,116,6
23,9,"ANALISIS DE ALIMENTOS",18.0,20.0,116,6
18,10,"ANTENAS Y PROPAGACION",10.0,12.0,116,6
15,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,9.5,C01,194
13,12,"ARQUITECTURA DE COMPUTADORAS",8.0,9.5,601,60
15,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,9.5,B01,223
25,14,"ASTRONOMIA GEODESICA",10.0,12.0,116,6
12,15,"AUTOMATAS PROGRAMABLES",16.0,18.0,116,6
24,16,"AVALUACIONES 1",18.0,20.0,116,6
8,17,"AVALUACIONES 2",9.0,11.0,116,6
11,18,"AVALUACIONES 3",8.0,10.0,116,6
3,19,"BASES DE DATOS I",14.0,16.0,116,6
2,20,"BASES DE DATOS II",9.5,11.5,310,16
16,21,"BASES DE DATOS PARA INGENIERIA",8.0,9.5,310,16
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,9.5,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,9.5,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,9.5,C12,131
5,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,10.0,B01,223
5,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,10.0,C01,194
23,24,"CALCULO VECTORIAL",8.0,9.5,312,94
17,25,"CALIDAD DE AGUAS",16.0,18.0,116,6
1,26,"CAMINOS Y CALLES 1",12.0,14.0,310,16
1,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",18.0,20.0,116,6
21,28,"CARTOGRAFIA MATEMATICA",8.0,10.0,116,6
9,29,"CARTOGRAFÍA TEMÁTICA",14.0,16.0,116,6
14,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",12.0,14.0,116,6
21,31,"CATASTRO",14.0,16.0,116,6
17,32,"COMERCIALIZACION",14.0,16.0,116,6
