INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,50,0.80,0.001,1.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.000000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.200000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.400000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.870000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.400000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,2.530000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,4.180000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.300000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.200000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.980000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.900000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.700000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,2.860000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.430000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.400000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.200000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.600000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.700000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,3.960000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.000000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.900000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.540000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,2.640000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.000000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.650000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.000000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,3.300000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,4.290000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.870000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,4.290000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,4.180000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,2.420000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.540000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.400000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.700000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.800000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,4.620000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.210000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.400000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.100000,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,1.210000,output/promedio_2024_pareto_front.csv
