nombre_uc,202412,Duracion,semestre,carrera
ELECTRONICA FUNDAMENTAL,12,3.5,5,electronica
PROGRAMACION 2,89,3,3,computacion
ADMINISTRACION DE OPERACIONES,1,2.5,7,produccion
AGRIMENSURA LEGAL 1,1,4,5,agrimensura
AGRIMENSURA LEGAL 2,5,4,6,agrimensura
AGRIMENSURA LEGAL 3,1,4,7,agrimensura
AGRIMENSURA LEGAL 4,2,4,,agrimensura
ALISTAMIENTO NAVAL,1,4,9,naval
ANTENAS Y PROPAGACION,1,4,7,electrica
APLICACIONES DEL ALGEBRA LINEAL,1,3,,
ARQUITECTURA DE COMPUTADORAS,158,3,4,computacion
ASPECTOS BASICOS DE REDES DE COMPUT,6,3,,
AUTOMATAS PROGRAMABLES,1,4,,
AVALUACIONES 1,1,4,7,agrimensura
AVALUACIONES 2,1,4,8,agrimensura
AVALUACIONES 3,1,4,9,agrimensura
BASES DE DATOS PARA INGENIERIA,26,3,9,sistemas de comunicación
CALCULO DIF. E INTEGRAL EN UNA VARIABLE,517,3,1,todas
CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,311,4,2,todas
CALCULO VECTORIAL,94,3,3,electronica;civil;naval
CALIDAD DE AGUAS,1,4,,
CAMINOS Y CALLES 1,4,4,9,civil;agrimensura
CAPTURA DE DATOS POR PERCEPCION REMOTA,1,4,5,agrimensura
CARTOGRAFIA MATEMATICA,4,4,6,agrimensura
CARTOGRAFÍA TEMÁTICA,1,4,,
CARTOGRAFÍA TEMÁTICA (ÁREA),1,4,,
CATASTRO,1,4,8,agrimensura
COMERCIALIZACION,1,4,,
COMPL.ARQUITECTURA DE COMPUTADORAS,1,4,,
COMPORTAMIENTO MECANICO DE MATERIALES 1,3,3,5,produccion;mecanica;naval
COMPORTAMIENTO MECANICO DE MATERIALES 2,3,3.5,6,mecanica;naval
COMPORTAMIENTO MEC. DE MATERIALES,1,3.5,,
COMPUTACION 1,25,3,4,agrimensura;mecania;naval
COMUNICACIONES DIGITALES,1,4,7,Sistemas de comunicacion
CONTROL DE CALIDAD,37,4,4,produccion;mecanica
COSTOS,8,4,7,civil
COSTOS PARA INGENIERIA,19,4,4,produccion;mecanica;naval
DINAMICA DE MAQUINAS Y VIBRACION,1,4,,
DISEÑO ASISTIDO POR COMPUTADOR,1,4,,
DISEÑO CATASTRAL,1,4,,agrimensura
DISEÑO DE PROCESOS QUIMICOS,1,4,,
DISEÑO DE REDES DE COND.EN ING.SANITARIA,1,4,,
DISEÑO HIDROLOGICO,2,4,,
DISEÑO LOGICO,20,4,4,electronica
DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS,1,4,,
ECONOMIA,434,4,4,todas
ECONOMÍA (AREA),7,4,,
EJERCICIOS DE INGENIERIA SANITARIA,1,4,,
ELASTICIDAD,5,4,5,civil
ELECTROMAGNETISMO,14,4,4,electronica;mecanica
ELECTRONICA AVANZADA 1,10,3,6,electronica
ELECTRONICA AVANZADA 2,4,3,7,electronica
ELECTRONICA DE POTENCIA,6,4,7,electronica
ELECTROTECNICA,9,3,7,electronica
ELECTROTECNICA I,19,2.5,7,produccion;mecanica;naval
ELECTROTECNICA II,19,3,6,mecanica;naval
ELEMENTOS DE GESTION LOGISTICA,1,4,7,produccion
ELEMENTOS DE INGENIERIA AMBIENTAL,1,4,4,civil;produccion;mecanica;naval
ELEMENTOS DE MAQUINAS,2,4,,
ELEMENTOS DE MECANICA DE LOS FLUIDOS,24,3,5,civil;mecanica;produccion;naval
ELEMENTOS DE NAVEGACION,1,4,,
ELEMENTOS DE TOPOGRAFIA,16,4,5,civil
ENERGIA 1- COMBUSTION,18,3,7,mecanica;naval
ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,2,4,,
ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION,9,4,,
ESTRUCTURAS DE ACERO,2,2,9,civil
ESTRUCTURAS DE BUQUES,1,4,7,naval
ESTRUCTURAS DE DATOS Y ALGORITMOS,1,4,,
ESTRUCTURAS DE MADERA,5,4,10,civil
ESTUDIO DEL TRABAJO,1,4,,
FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,25,4,5,alimentos;produccion;quimica
FISICA 1,388,3,1,todas
FISICA 2,3,3,2,electronica;civil;alimentos;naval
FISICA 3,99,3,3,electronica;civil;agrimensura;naval
FISICA TERMICA,40,3.5,4,produccion;mecanica;naval
FLUIDODINAMICA,49,4,8,alimentos;produccion;quimica
FOTOGRAMETRIA,2,4,6,agrimensura
FUNCIONES DE VARIABLE COMPLEJA,5,3,5,electronica
FUNDAMENTOS DE BASES DE DATOS,1,3,6,computacion
FUNDAMENTOS DE ROBOTICA INDUSTRIAL,1,4,5,produccion
FUND. DE LA PROD. DE CELULOSA Y PAPEL,1,3,,
GENERADORES DE VAPOR,1,4,10,mecanica
GEODESIA 1,1,4,,
GEODESIA 2,1,4,,
GEODESIA 3,3,4,,
GEOESTADISTICA APLICADA,1,4,,
GEOLOGIA DE INGENIERIA,35,4,6,civil
GEOMETRIA Y ALGEBRA LINEAL 1,445,3,1,todas
GEOMETRIA Y ALGEBRA LINEAL 2,327,3.5,2,todas
